Feedback_ID,Feedback_Text,Sentiment
1,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
2,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
3,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
4,"Schlechter Kundenservice, niemand hat auf meine Anfragen geantwortet.",negativ
5,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
6,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
7,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
8,Es hat zu lange gedauert und niemand konnte mir helfen.,negativ
9,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
10,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
11,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
12,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
13,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
14,Mein Anliegen wurde ignoriert und nicht gelöst. Sehr unzufrieden.,negativ
15,"Insgesamt eine gute Erfahrung, hätte aber schneller sein können.",neutral
16,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
17,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
18,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
19,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
20,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
21,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
22,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
23,Das Support-Team schien verwirrt und hat nicht wirklich geholfen.,negativ
24,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
25,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
26,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
27,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
28,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
29,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
30,"Ich musste stundenlang warten, bis sich jemand bei mir gemeldet hat. Sehr frustrierend.",negativ
31,Der Service war hervorragend und mein Anliegen wurde sofort geklärt.,positiv
32,Der Support war sehr hilfsbereit und hat mein Problem schnell gelöst.,positiv
33,"Es war okay, nicht das Beste, aber das Problem wurde gelöst.",neutral
34,"Der Vorgang war unkompliziert, aber ich musste etwas länger warten.",neutral
35,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
36,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
37,Fantastischer Service! Mein Problem wurde sofort gelöst.,positiv
38,"Ich bin wirklich beeindruckt, wie schnell mein Problem gelöst wurde.",positiv
39,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
40,Der Mitarbeiter war sehr unhöflich und mein Problem wurde nicht behoben.,negativ
41,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
42,"Der Prozess war etwas langwierig, aber das Endergebnis war in Ordnung.",neutral
43,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
44,"Die Bearbeitung war schnell, aber die Lösung war unklar.",neutral
45,"Ich bin sehr zufrieden mit dem Service, mein Problem wurde sofort behoben.",positiv
46,"Hervorragender Kundenservice, sehr freundlich und effizient!",positiv
47,"Das Team hat großartige Arbeit geleistet, alles war super.",positiv
48,Der Service hat zu lange gebraucht und mein Problem nicht gelöst.,negativ
